url,api,get,post,put,patch,delete
/accounts,pro,False,N/A,N/A,N/A,N/A
/accounts/groupid/{id},pro,False,False,False,N/A,False
/accounts/groupname/{name},pro,False,N/A,N/A,N/A,N/A
/accounts/userid/{id},pro,False,False,False,N/A,False
/accounts/username/{name},pro,False,N/A,N/A,N/A,N/A
/activationcode,pro,True,N/A,True,N/A,N/A
/advancedcomputersearches,pro,True,N/A,N/A,N/A,N/A
/advancedcomputersearches/id/{id},pro,True,False,True,N/A,True
/advancedcomputersearches/name/{name},pro,True,N/A,N/A,N/A,N/A
/advancedmobiledevicesearches,pro,True,N/A,N/A,N/A,N/A
/advancedmobiledevicesearches/id/{id},pro,True,False,True,N/A,True
/advancedmobiledevicesearches/name/{name},pro,True,N/A,N/A,N/A,N/A
/advancedusersearches,pro,True,N/A,N/A,N/A,N/A
/advancedusersearches/id/{id},pro,True,False,True,N/A,True
/advancedusersearches/name/{name},pro,True,N/A,N/A,N/A,N/A
/allowedfileextensions,pro,True,N/A,N/A,N/A,N/A
/allowedfileextensions/extension/{extension},pro,False,N/A,N/A,N/A,N/A
/allowedfileextensions/id/{id},pro,True,False,N/A,N/A,True
/buildings,pro,False,N/A,N/A,N/A,N/A
/buildings/id/{id},pro,False,False,False,N/A,False
/buildings/name/{name},pro,False,N/A,N/A,N/A,N/A
/byoprofiles,pro,True,N/A,N/A,N/A,N/A
/byoprofiles/id/{id},pro,True,N/A,True,N/A,N/A
/byoprofiles/name/{name},pro,True,N/A,N/A,N/A,N/A
/byoprofiles/site/id/{siteId},pro,False,N/A,N/A,N/A,N/A
/byoprofiles/site/name/{siteName},pro,False,N/A,N/A,N/A,N/A
/categories,pro,False,N/A,N/A,N/A,N/A
/categories/id/{id},pro,False,False,False,N/A,False
/categories/name/{name},pro,False,N/A,N/A,N/A,N/A
/classes,pro,True,N/A,N/A,N/A,N/A
/classes/id/{id},pro,True,False,True,N/A,True
/classes/name/{name},pro,True,N/A,N/A,N/A,N/A
/commandflush,pro,N/A,N/A,N/A,N/A,False
/commandflush/{idtype}/id/{id}/status/{status},pro,N/A,N/A,N/A,N/A,False
/computerapplications/application/{application},pro,False,N/A,N/A,N/A,N/A
/computerapplications/application/{application}/inventory/{inventory},pro,False,N/A,N/A,N/A,N/A
/computerapplications/application/{application}/version/{version},pro,False,N/A,N/A,N/A,N/A
/computerapplications/application/{application}/version/{version}/inventory/{inventory},pro,False,N/A,N/A,N/A,N/A
/computerapplicationusage/id/{id}/{start_date}_{end_date},pro,False,N/A,N/A,N/A,N/A
/computerapplicationusage/macaddress/{macaddress}/{start_date}_{end_date},pro,False,N/A,N/A,N/A,N/A
/computerapplicationusage/name/{name}/{start_date}_{end_date},pro,False,N/A,N/A,N/A,N/A
/computerapplicationusage/serialnumber/{serialnumber}/{start_date}_{end_date},pro,False,N/A,N/A,N/A,N/A
/computerapplicationusage/udid/{udid}/{start_date}_{end_date},pro,False,N/A,N/A,N/A,N/A
/computercheckin,pro,False,N/A,False,N/A,N/A
/computercommands,pro,False,N/A,N/A,N/A,N/A
/computercommands/command/{command},pro,N/A,False,N/A,N/A,N/A
/computercommands/command/{command}/action/{action}/id/{id},pro,N/A,False,N/A,N/A,N/A
/computercommands/command/{command}/id/{id},pro,N/A,False,N/A,N/A,N/A
/computercommands/command/{command}/passcode/{passcode}/id/{id},pro,N/A,False,N/A,N/A,N/A
/computercommands/name/{name},pro,False,N/A,N/A,N/A,N/A
/computercommands/status/{statusuuid},pro,False,N/A,N/A,N/A,N/A
/computercommands/uuid/{uuid},pro,False,N/A,N/A,N/A,N/A
/computerextensionattributes,pro,True,N/A,N/A,N/A,N/A
