url,api,get,post,put,patch,delete
/activationcode,pro,True,False,True,False,False
/v1/api-integrations,pro,True,True,True,False,True
/v1/api-integrations/{id},pro,True,False,True,False,True
/v1/api-integrations/{id}/client-credentials,pro,False,True,False,False,False
/v1/api-role-privileges,pro,True,False,False,False,False
/v1/api-role-privileges/search?name={name}&limit={limit},pro,True,False,False,False,False
/v1/api-roles,pro,True,True,True,False,True
/v1/api-roles/{id},pro,True,False,True,False,True
/advancedcomputersearches,pro,True,True,False,False,False
/advancedcomputersearches/id/{id},pro,True,False,True,False,True
/advancedcomputersearches/name/{name},pro,True,False,True,False,True
/advancedmobiledevicesearches,pro,True,True,False,False,False
/advancedmobiledevicesearches/id/{id},pro,True,False,True,False,True
/advancedmobiledevicesearches/name/{name},pro,True,False,True,False,True
/advancedusersearches,pro,True,True,False,False,False
/advancedusersearches/id/{id},pro,True,False,True,False,True
/advancedusersearches/name/{name},pro,True,False,True,False,True
/allowedfileextensions,pro,True,False,False,False,False
/allowedfileextensions/id/{id},pro,True,False,False,False,True
/allowedfileextensions/extension/{extensionName},pro,True,False,False,False,True
/allowedfileextensions/id/0,pro,False,True,False,False,False
/byoprofiles,pro,True,False,False,False,False
/byoprofiles/id/{id},pro,True,False,True,False,True
/byoprofiles/name/{name},pro,True,False,False,False,True
/byoprofiles/id/0,pro,False,True,False,False,False
/byoprofiles/name/{oldName},pro,False,False,True,False,False
/v1/categories,pro,True,True,False,False,False
/v1/categories/{id},pro,True,False,True,False,True
/v1/categories/name/{name},pro,True,False,False,False,False
/v1/categories/delete-multiple,pro,False,True,False,False,False
/computergroups,pro,True,False,False,False,False
/computergroups/id/{id},pro,True,False,True,False,True
/computergroups/name/{name},pro,True,False,True,False,True
/computergroups/id/0,pro,False,True,False,False,False
/computerextensionattributes,pro,True,False,False,False,False
/computerextensionattributes/id/{id},pro,True,False,True,False,True
/computerextensionattributes/name/{name},pro,True,False,True,False,False
/computerextensionattributes/id/0,pro,False,True,False,False,False
/departments,pro,True,False,False,False,False
/departments/id/{id},pro,True,False,True,False,True
/departments/name/{name},pro,True,False,False,False,True
/departments/id/0,pro,False,True,False,False,False
/departments/name/{oldName},pro,False,False,True,False,False
/osxconfigurationprofiles,pro,True,False,False,False,False
/osxconfigurationprofiles/id/{id},pro,True,False,True,False,True
/osxconfigurationprofiles/name/{name},pro,True,False,True,False,True
/osxconfigurationprofiles/id/0,pro,False,True,False,False,False
/policies,pro,True,False,False,False,False
/policies/id/{id},pro,True,False,True,False,True
/policies/name/{name},pro,True,False,True,False,True
/policies/category/{category},pro,True,False,False,False,False
/policies/createdBy/{createdBy},pro,True,False,False,False,False
/policies/id/0,pro,False,True,False,False,False
/v1/self-service/branding/macos,pro,True,True,False,False,False
/v1/self-service/branding/macos/{id},pro,True,False,True,False,True
/v1/self-service/branding/macos/name/{name},pro,True,False,False,False,False
/scripts,pro,True,False,False,False,False
/scripts/id/{id},pro,True,False,True,False,True
/scripts/name/{name},pro,True,False,True,False,True
/scripts/id/0,pro,False,True,False,False,False
/sites,pro,True,False,False,False,False
/sites/id/{id},pro,True,False,True,False,True
/sites/name/{name},pro,True,False,True,False,True
/sites/id/0,pro,False,True,False,False,False
/v1/sso/failover,pro,True,False,False,False,False
/v1/sso/failover/generate,pro,False,False,True,False,False
/v1/volume-purchasing-subscriptions,pro,True,True,False,False,False
/v1/volume-purchasing-subscriptions/{id},pro,True,False,True,False,True
/v1/computer-inventory-collection-settings,pro,True,False,False,True,False
/v1/computer-inventory-collection-settings/custom-path,pro,False,True,False,False,False
/v1/computer-inventory-collection-settings/custom-path/{id},pro,False,False,False,False,True
/v2/jamf-pro-information,pro,True,False,False,False,False
/classes,pro,True,False,False,False,False
/classes/id/{id},pro,True,False,True,False,True
/classes/name/{name},pro,True,False,True,False,True
/classes/id/0,pro,False,True,False,False,False
/computerinvitations,pro,True,False,False,False,False
/computerinvitations/id/{id},pro,True,False,False,False,True
/computerinvitations/invitation/{invitation},pro,True,False,False,False,False
/computerinvitations/id/0,pro,False,True,False,False,False
/diskencryptionconfigurations,pro,True,False,False,False,False
/diskencryptionconfigurations/id/{id},pro,True,False,True,False,True
/diskencryptionconfigurations/name/{name},pro,True,False,True,False,True
/diskencryptionconfigurations/id/0,pro,False,True,False,False,False
/distributionpoints,pro,True,False,False,False,False
/distributionpoints/id/{id},pro,True,False,True,False,True
/distributionpoints/name/{name},pro,True,False,True,False,True
/distributionpoints/id/0,pro,False,True,False,False,False
/directorybindings,pro,True,False,False,False,False
/directorybindings/id/{id},pro,True,False,True,False,True
/directorybindings/name/{name},pro,True,False,True,False,True
/directorybindings/id/0,pro,False,True,False,False,False
/computers,pro,True,False,False,False,False
/computers/id/{id},pro,True,False,True,False,True
/computers/name/{name},pro,True,False,True,False,True
/computers/id/0,pro,False,True,False,False,False
/dockitems,pro,True,False,False,False,False
/dockitems/id/{id},pro,True,False,True,False,True
/dockitems/name/{name},pro,True,False,True,False,True
/dockitems/id/0,pro,False,True,False,False,False
/ebooks,pro,True,False,False,False,False
/ebooks/id/{id},pro,True,False,True,False,True
/ebooks/name/{name},pro,True,False,True,False,True
/ebooks/name/{name}/subset/{subset},pro,True,False,False,False,False
/ebooks/id/0,pro,False,True,False,False,False
/macapplications,pro,True,False,False,False,False
/macapplications/id/{id},pro,True,False,True,False,True
/macapplications/name/{name},pro,True,False,True,False,True
/macapplications/name/{name}/subset/{subset},pro,True,False,False,False,False
/macapplications/id/{id}/subset/{subset},pro,True,False,False,False,False
/macapplications/id/0,pro,False,True,False,False,False
/ibeacons,pro,True,False,False,False,False
/ibeacons/id/{id},pro,True,False,True,False,True
/ibeacons/name/{name},pro,True,False,True,False,True
/ibeacons/id/0,pro,False,True,False,False,False
/ldapservers,pro,True,False,False,False,False
/ldapservers/id/{id},pro,True,False,True,False,True
/ldapservers/name/{name},pro,True,False,True,False,True
/ldapservers/id/{id}/user/{user},pro,True,False,False,False,False
/ldapservers/id/{id}/group/{group},pro,True,False,False,False,False
/ldapservers/id/{id}/group/{group}/user/{user},pro,True,False,False,False,False
/ldapservers/name/{name}/user/{user},pro,True,False,False,False,False
/ldapservers/name/{name}/group/{group},pro,True,False,False,False,False
/ldapservers/name/{name}/group/{group}/user/{user},pro,True,False,False,False,False
/ldapservers/id/0,pro,False,True,False,False,False
/licensedsoftware,pro,True,False,False,False,False
/licensedsoftware/id/{id},pro,True,False,True,False,True
/licensedsoftware/name/{name},pro,True,False,True,False,True
/licensedsoftware/id/0,pro,False,True,False,False,False
/mobiledeviceapplications,pro,True,False,False,False,False
/mobiledeviceapplications/id/{id},pro,True,False,True,False,True
/mobiledeviceapplications/name/{name},pro,True,False,True,False,True
/mobiledeviceapplications/bundleid/{bundleid},pro,True,False,True,False,True
/mobiledeviceapplications/bundleid/{bundleid}/version/{version},pro,True,False,True,False,True
/mobiledeviceapplications/id/{id}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceapplications/name/{name}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceapplications/id/0,pro,False,True,False,False,False
/mobiledeviceconfigurationprofiles,pro,True,False,False,False,False
/mobiledeviceconfigurationprofiles/id/{id},pro,True,False,True,False,True
/mobiledeviceconfigurationprofiles/name/{name},pro,True,False,True,False,True
/mobiledeviceconfigurationprofiles/id/{id}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceconfigurationprofiles/name/{name}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceconfigurationprofiles/id/0,pro,False,True,False,False,False
/mobiledeviceextensionattributes,pro,True,False,False,False,False
/mobiledeviceextensionattributes/id/{id},pro,True,False,True,False,True
/mobiledeviceextensionattributes/name/{name},pro,True,False,True,False,True
/mobiledeviceextensionattributes/id/0,pro,False,True,False,False,False
/mobiledeviceenrollmentprofiles,pro,True,False,False,False,False
/mobiledeviceenrollmentprofiles/id/{id},pro,True,False,True,False,True
/mobiledeviceenrollmentprofiles/name/{name},pro,True,False,True,False,True
/mobiledeviceenrollmentprofiles/invitation/{invitation},pro,True,False,True,False,True
/mobiledeviceenrollmentprofiles/id/{id}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceenrollmentprofiles/name/{name}/subset/{subset},pro,True,False,False,False,False
/mobiledeviceenrollmentprofiles/id/0,pro,False,True,False,False,False
/printers,pro,True,False,False,False,False
/printers/id/{id},pro,True,False,True,False,True
/printers/name/{name},pro,True,False,True,False,True
/printers/id/0,pro,False,True,False,False,False
/networksegments,pro,True,False,False,False,False
/networksegments/id/{id},pro,True,False,True,False,True
/networksegments/name/{name},pro,True,False,True,False,True
/networksegments/id/0,pro,False,True,False,False,False
/mobiledevicegroups,pro,True,False,False,False,False
/mobiledevicegroups/id/{id},pro,True,False,True,False,True
/mobiledevicegroups/name/{name},pro,True,False,True,False,True
/mobiledevicegroups/id/0,pro,False,True,False,False,False
/mobiledeviceprovisioningprofiles,pro,True,False,False,False,False
/mobiledeviceprovisioningprofiles/id/{id},pro,True,True,True,False,True
/mobiledeviceprovisioningprofiles/name/{name},pro,True,True,True,False,True
/mobiledeviceprovisioningprofiles/uuid/{uuid},pro,True,True,True,False,True
